Index	Tissue	Dataset_ID	Sample_ID	T:Tissue;C:Cellline	Cellline_name	Expression_level
1	Adipose-Cancer	GSE2109	GSM137902	T	None	7.7879024
2	Adipose-Cancer	GSE66162	GSM1615580	T	None	5.83289
3	Adipose-Cancer	GSE66162	GSM1615582	T	None	5.857981
4	Adipose-Cancer	GSE66162	GSM1615585	T	None	6.357552
5	Adipose-Cancer	GSE66162	GSM1615587	T	None	6.044394
6	Adipose-Cancer	GSE66162	GSM1615602	T	None	6.33985
7	Adipose-Cancer	GSE66162	GSM1615604	T	None	6.6293564
8	Adipose-Cancer	GSE66162	GSM1615609	T	None	6.6865005
9	Adipose-Cancer	GSE66162	GSM1615613	T	None	6.9188633
10	Adipose-Cancer	GSE13506	GSM340488	T	None	6.022368
11	Adipose-Normal	GSE41168	GSM1009760	T	None	4.087463
12	Adipose-Normal	GSE41168	GSM1009772	T	None	5.4594316
13	Adipose-Normal	GSE41168	GSM1009776	T	None	6.129283
14	Adipose-Normal	GSE41168	GSM1009800	T	None	6.228819
15	Adipose-Normal	GSE41168	GSM1009804	T	None	5.044394
16	Adipose-Normal	GSE41168	GSM1009812	T	None	5.2854023
17	Adipose-Normal	GSE41168	GSM1009820	T	None	4.087463
18	Adipose-Normal	GSE41168	GSM1009828	T	None	5.3923173
19	Adipose-Normal	GSE41168	GSM1009836	T	None	4.3923173
20	Adipose-Normal	GSE41168	GSM1009844	T	None	5.7279205
21	Adipose-Normal	GSE41168	GSM1009854	T	None	4.4594316
22	Adipose-Normal	GSE41168	GSM1009872	T	None	5.321928
23	Adipose-Normal	GSE41168	GSM1009886	T	None	5.523562
24	Adipose-Normal	GSE43346	GSM1060754	T	None	5.9068904
25	Adipose-Normal	GSE7307	GSM175834	T	None	7.179909
26	Adipose-Normal	GSE7307	GSM175835	T	None	6.9307375
27	Adipose-Normal	GSE7307	GSM175836	T	None	7.228819
28	Adipose-Normal	GSE7307	GSM175837	T	None	6.643856
29	Adipose-Normal	GSE7307	GSM175994	T	None	6.9307375
30	Adipose-Normal	GSE7307	GSM176027	T	None	6.4429436
31	Adipose-Normal	GSE7307	GSM176028	T	None	6.5999126
32	Adipose-Normal	GSE7307	GSM176118	T	None	7.523562
33	Adipose-Normal	GSE7307	GSM176119	T	None	7.0
34	Adipose-Normal	GSE7307	GSM176121	T	None	7.6073303
35	Adipose-Normal	GSE13506	GSM340489	T	None	5.9068904
36	Adipose-Normal	GSE13506	GSM340490	T	None	6.33985
37	Adipose-Normal	GSE13506	GSM340491	T	None	5.5849624
38	Adipose-Normal	GSE13506	GSM340492	T	None	6.409391
39	Adipose-Normal	GSE13506	GSM340493	T	None	5.7279205
40	Adipose-Normal	GSE13506	GSM340494	T	None	5.129283
41	Adipose-Normal	GSE13506	GSM340495	T	None	5.554589
42	Adipose-Normal	GSE13506	GSM340496	T	None	5.882643
43	Adipose-Normal	GSE13506	GSM340497	T	None	6.3037806
44	Adipose-Normal	GSE13506	GSM340498	T	None	6.2479277
45	Adipose-Normal	GSE13506	GSM340499	T	None	6.2094536
46	Adipose-Normal	GSE13506	GSM340500	T	None	6.321928
47	Adipose-Normal	GSE13506	GSM340501	T	None	5.61471
48	Adipose-Normal	GSE13506	GSM340502	T	None	7.087463
49	Adipose-Normal	GSE13506	GSM340503	T	None	5.9068904
50	Adipose-Normal	GSE13506	GSM340504	T	None	5.7548876
51	Adipose-Normal	GSE13506	GSM340505	T	None	6.4757333
52	Adipose-Normal	GSE13506	GSM340506	T	None	5.643856
53	Adipose-Normal	GSE13506	GSM340507	T	None	5.9068904
54	Adipose-Normal	GSE13506	GSM340508	T	None	6.894818
55	Adipose-Normal	GSE13506	GSM340509	T	None	6.9886847
56	Adipose-Normal	GSE13506	GSM340510	T	None	6.2854023
57	Adipose-Normal	GSE13506	GSM340511	T	None	6.3750396
58	Adipose-Normal	GSE13506	GSM340512	T	None	6.022368
59	Adipose-Normal	GSE13506	GSM340513	T	None	5.83289
60	Adipose-Normal	GSE13506	GSM340514	T	None	6.2854023
61	Adipose-Normal	GSE13506	GSM340515	T	None	5.83289
62	Adipose-Normal	GSE13506	GSM340516	T	None	6.087463
63	Adipose-Normal	GSE13506	GSM340517	T	None	7.409391
64	Adipose-Normal	GSE13506	GSM340518	T	None	6.857981
65	Adipose-Normal	GSE13506	GSM340519	T	None	5.857981
66	Adipose-Normal	GSE13506	GSM340520	T	None	6.554589
67	Adipose-Normal	GSE13506	GSM340521	T	None	5.9541965
68	Adipose-Normal	GSE13506	GSM340522	T	None	5.9541965
69	Adipose-Normal	GSE13506	GSM340523	T	None	5.044394
70	Adipose-Normal	GSE13506	GSM340524	T	None	5.321928
71	Adipose-Normal	GSE13506	GSM340525	T	None	5.523562
72	Adipose-Normal	GSE13506	GSM340526	T	None	5.0
73	Adipose-Normal	GSE13506	GSM340527	T	None	6.7548876
74	Adipose-Normal	GSE13506	GSM340528	T	None	5.357552
75	Adipose-Normal	GSE13506	GSM340529	T	None	6.2094536
76	Adipose-Normal	GSE13506	GSM340530	T	None	6.066089
77	Adipose-Normal	GSE13506	GSM340531	T	None	5.087463
78	Adipose-Normal	GSE13506	GSM340532	T	None	5.491853
79	Adipose-Normal	GSE13506	GSM340533	T	None	5.7548876
80	Adipose-Normal	GSE13506	GSM340534	T	None	6.044394
81	Adipose-Normal	GSE13506	GSM340535	T	None	5.643856
82	Adipose-Normal	GSE13506	GSM340536	T	None	5.7813597
83	Adrenal_Gland-Cancer	GSE19776	GSM1094056	T	None	8.475734
84	Adrenal_Gland-Cancer	GSE19776	GSM1094057	T	None	4.9541965
85	Adrenal_Gland-Cancer	GSE19776	GSM1094058	T	None	4.643856
86	Adrenal_Gland-Cancer	GSE19776	GSM1094059	T	None	6.321928
87	Adrenal_Gland-Cancer	GSE19776	GSM1094060	T	None	6.9541965
88	Adrenal_Gland-Cancer	GSE19776	GSM1094061	T	None	8.027906
89	Adrenal_Gland-Cancer	GSE19776	GSM1094062	T	None	7.228819
90	Adrenal_Gland-Cancer	GSE19776	GSM1094063	T	None	6.894818
91	Adrenal_Gland-Cancer	GSE19776	GSM1094064	T	None	6.5849624
92	Adrenal_Gland-Cancer	GSE19776	GSM1094065	T	None	7.9068904
93	Adrenal_Gland-Cancer	GSE19776	GSM1094066	T	None	5.4594316
94	Adrenal_Gland-Cancer	GSE19776	GSM1094067	T	None	6.5698557
95	Adrenal_Gland-Cancer	GSE19776	GSM1094068	T	None	7.098032
96	Adrenal_Gland-Cancer	GSE19776	GSM1094069	T	None	7.6220517
97	Adrenal_Gland-Cancer	GSE19776	GSM1094070	T	None	7.228819
98	Adrenal_Gland-Cancer	GSE19776	GSM1094071	T	None	7.199672
99	Adrenal_Gland-Cancer	GSE19776	GSM1094072	T	None	5.129283
100	Adrenal_Gland-Cancer	GSE19776	GSM1094073	T	None	6.965784
101	Adrenal_Gland-Cancer	GSE19776	GSM1094074	T	None	6.6724253
102	Adrenal_Gland-Cancer	GSE19776	GSM1094075	T	None	7.179909
103	Adrenal_Gland-Cancer	GSE19776	GSM1094076	T	None	7.149747
104	Adrenal_Gland-Cancer	GSE19776	GSM1094077	T	None	5.523562
105	Adrenal_Gland-Cancer	GSE19776	GSM1094078	T	None	7.8009
106	Adrenal_Gland-Cancer	GSE19776	GSM1094079	T	None	6.4757333
107	Adrenal_Gland-Cancer	GSE19776	GSM1094080	T	None	6.9425144
108	Adrenal_Gland-Cancer	GSE2109	GSM117754	T	None	8.700439
109	Adrenal_Gland-Cancer	GSE2109	GSM203678	T	None	6.554589
110	Adrenal_Gland-Cancer	GSE8514	GSM211446	T	None	6.857981
111	Adrenal_Gland-Cancer	GSE8514	GSM211451	T	None	7.2094536
112	Adrenal_Gland-Cancer	GSE8514	GSM211452	T	None	7.383704
113	Adrenal_Gland-Cancer	GSE8514	GSM211453	T	None	7.066089
114	Adrenal_Gland-Cancer	GSE8514	GSM211454	T	None	7.499846
115	Adrenal_Gland-Cancer	GSE8514	GSM211455	T	None	9.071463
116	Adrenal_Gland-Cancer	GSE8514	GSM211456	T	None	7.2479277
117	Adrenal_Gland-Cancer	GSE8514	GSM211457	T	None	7.83289
118	Adrenal_Gland-Cancer	GSE8514	GSM211458	T	None	6.7279205
119	Adrenal_Gland-Cancer	GSE8514	GSM211459	T	None	8.0443945
120	Adrenal_Gland-Cancer	GSE8514	GSM211460	T	None	6.741467
121	Adrenal_Gland-Cancer	GSE2109	GSM38072	T	None	9.413628
122	Adrenal_Gland-Cancer	GSE2109	GSM46946	T	None	7.8137813
123	Adrenal_Gland-Cancer	GSE19776	GSM493255	T	None	8.857981
124	Adrenal_Gland-Cancer	GSE19776	GSM493256	T	None	10.995061
125	Adrenal_Gland-Cancer	GSE19776	GSM493257	T	None	10.027906
126	Adrenal_Gland-Cancer	GSE19776	GSM493258	T	None	7.2094536
127	Adrenal_Gland-Cancer	GSE19776	GSM493259	T	None	7.451211
128	Adrenal_Gland-Cancer	GSE19776	GSM493260	T	None	7.011227
129	Adrenal_Gland-Cancer	GSE19776	GSM493261	T	None	8.876517
130	Adrenal_Gland-Cancer	GSE19776	GSM493262	T	None	10.706496
131	Adrenal_Gland-Cancer	GSE19776	GSM493263	T	None	9.447083
132	Adrenal_Gland-Cancer	GSE19776	GSM493264	T	None	8.748193
133	Adrenal_Gland-Cancer	GSE19776	GSM493265	T	None	8.40088
134	Adrenal_Gland-Cancer	GSE19776	GSM493266	T	None	8.28077
135	Adrenal_Gland-Cancer	GSE19776	GSM493267	T	None	7.409391
136	Adrenal_Gland-Cancer	GSE19776	GSM493268	T	None	7.228819
137	Adrenal_Gland-Cancer	GSE19776	GSM493269	T	None	5.807355
138	Adrenal_Gland-Cancer	GSE19776	GSM493270	T	None	8.038919
139	Adrenal_Gland-Cancer	GSE19776	GSM493271	T	None	8.531382
140	Adrenal_Gland-Cancer	GSE19776	GSM493272	T	None	6.6724253
141	Adrenal_Gland-Cancer	GSE19776	GSM493273	T	None	6.643856
142	Adrenal_Gland-Cancer	GSE33371	GSM825377	T	None	8.060696
143	Adrenal_Gland-Cancer	GSE33371	GSM825378	T	None	8.867279
144	Adrenal_Gland-Cancer	GSE33371	GSM825379	T	None	7.451211
145	Adrenal_Gland-Cancer	GSE33371	GSM825380	T	None	7.199672
146	Adrenal_Gland-Cancer	GSE33371	GSM825381	T	None	7.7347097
147	Adrenal_Gland-Cancer	GSE33371	GSM825382	T	None	6.807355
148	Adrenal_Gland-Cancer	GSE33371	GSM825383	T	None	6.83289
149	Adrenal_Gland-Cancer	GSE33371	GSM825384	T	None	7.6724253
150	Adrenal_Gland-Cancer	GSE33371	GSM825385	T	None	6.507795
151	Adrenal_Gland-Cancer	GSE33371	GSM825386	T	None	6.7142453
152	Adrenal_Gland-Cancer	GSE33371	GSM825387	T	None	6.807355
153	Adrenal_Gland-Cancer	GSE33371	GSM825388	T	None	5.7548876
154	Adrenal_Gland-Cancer	GSE33371	GSM825389	T	None	7.70044
155	Adrenal_Gland-Cancer	GSE33371	GSM825390	T	None	7.539159
156	Adrenal_Gland-Cancer	GSE33371	GSM825391	T	None	7.159871
157	Adrenal_Gland-Cancer	GSE33371	GSM825392	T	None	7.768184
158	Adrenal_Gland-Cancer	GSE33371	GSM825393	T	None	8.527477
159	Adrenal_Gland-Cancer	GSE33371	GSM825394	T	None	6.523562
160	Adrenal_Gland-Cancer	GSE33371	GSM825395	T	None	8.3706875
161	Adrenal_Gland-Cancer	GSE33371	GSM825396	T	None	7.2761245
162	Adrenal_Gland-Cancer	GSE33371	GSM825397	T	None	6.857981
163	Adrenal_Gland-Cancer	GSE33371	GSM825398	T	None	7.139551
164	Adrenal_Gland-Cancer	GSE33371	GSM825399	T	None	8.149747
165	Adrenal_Gland-Cancer	GSE33371	GSM825400	T	None	8.060696
166	Adrenal_Gland-Cancer	GSE33371	GSM825401	T	None	8.33985
167	Adrenal_Gland-Cancer	GSE33371	GSM825402	T	None	8.768185
168	Adrenal_Gland-Cancer	GSE33371	GSM825403	T	None	8.438792
169	Adrenal_Gland-Cancer	GSE33371	GSM825404	T	None	8.3442955
170	Adrenal_Gland-Cancer	GSE33371	GSM825405	T	None	8.159871
171	Adrenal_Gland-Cancer	GSE33371	GSM825406	T	None	9.1649065
172	Adrenal_Gland-Cancer	GSE33371	GSM825407	T	None	8.611025
173	Adrenal_Gland-Cancer	GSE33371	GSM825408	T	None	9.55267
174	Adrenal_Gland-Cancer	GSE33371	GSM825409	T	None	7.8265486
175	Adrenal_Gland-Cancer	GSE33371	GSM825410	T	None	8.4998455
176	Adrenal_Gland-Cancer	GSE33371	GSM825411	T	None	9.202124
177	Adrenal_Gland-Cancer	GSE33371	GSM825412	T	None	5.426265
178	Adrenal_Gland-Cancer	GSE33371	GSM825413	T	None	7.2761245
179	Adrenal_Gland-Cancer	GSE33371	GSM825414	T	None	8.174926
180	Adrenal_Gland-Cancer	GSE33371	GSM825415	T	None	7.9886847
181	Adrenal_Gland-Cancer	GSE33371	GSM825416	T	None	10.590587
182	Adrenal_Gland-Cancer	GSE33371	GSM825417	T	None	5.882643
183	Adrenal_Gland-Cancer	GSE33371	GSM825418	T	None	11.71682
184	Adrenal_Gland-Cancer	GSE33371	GSM825419	T	None	9.084808
185	Adrenal_Gland-Cancer	GSE33371	GSM825420	T	None	9.789534
186	Adrenal_Gland-Cancer	GSE33371	GSM825421	T	None	8.83605
187	Adrenal_Gland-Cancer	GSE33371	GSM825422	T	None	8.5736475
188	Adrenal_Gland-Cancer	GSE33371	GSM825423	T	None	9.055283
189	Adrenal_Gland-Cancer	GSE33371	GSM825424	T	None	9.287712
190	Adrenal_Gland-Cancer	GSE33371	GSM825425	T	None	10.145932
191	Adrenal_Gland-Cancer	GSE33371	GSM825426	T	None	8.611025
192	Adrenal_Gland-Cancer	GSE33371	GSM825427	T	None	8.396605
193	Adrenal_Gland-Cancer	GSE33371	GSM825428	T	None	9.197217
194	Adrenal_Gland-Cancer	GSE33371	GSM825429	T	None	9.544965
195	Adrenal_Gland-Cancer	GSE33371	GSM825430	T	None	7.149747
196	Adrenal_Gland-Cancer	GSE33371	GSM825431	T	None	9.507794
197	Adrenal_Gland-Normal	GSE43346	GSM1060745	T	None	7.4594316
198	Adrenal_Gland-Normal	GSE8514	GSM211447	T	None	7.5999126
199	Adrenal_Gland-Normal	GSE8514	GSM211448	T	None	7.5698557
200	Adrenal_Gland-Normal	GSE8514	GSM211449	T	None	7.3923173
201	Adrenal_Gland-Normal	GSE8514	GSM211450	T	None	8.076816
202	Adrenal_Gland-Normal	GSE19776	GSM493251	T	None	7.409391
203	Adrenal_Gland-Normal	GSE19776	GSM493252	T	None	6.7142453
204	Adrenal_Gland-Normal	GSE19776	GSM493253	T	None	6.5999126
205	Adrenal_Gland-Normal	GSE19776	GSM493254	T	None	6.3923173
206	Adrenal_Gland-Normal	GSE33371	GSM825367	T	None	7.0768156
207	Adrenal_Gland-Normal	GSE33371	GSM825368	T	None	6.491853
208	Adrenal_Gland-Normal	GSE33371	GSM825369	T	None	7.3750396
209	Adrenal_Gland-Normal	GSE33371	GSM825370	T	None	7.3750396
210	Adrenal_Gland-Normal	GSE33371	GSM825371	T	None	7.409391
211	Adrenal_Gland-Normal	GSE33371	GSM825372	T	None	7.794416
212	Adrenal_Gland-Normal	GSE33371	GSM825373	T	None	7.1085243
213	Adrenal_Gland-Normal	GSE33371	GSM825374	T	None	7.9248123
214	Adrenal_Gland-Normal	GSE33371	GSM825375	T	None	7.5849624
215	Adrenal_Gland-Normal	GSE33371	GSM825376	T	None	7.7615514
246	Bladder-Cancer	GSE2109	GSM102434	T	None	6.9886847
247	Bladder-Cancer	GSE2109	GSM102437	T	None	11.235416
248	Bladder-Cancer	GSE2109	GSM102470	T	None	8.361944
249	Bladder-Cancer	GSE2109	GSM102475	T	None	7.5999126
253	Bladder-Cancer	GSE2109	GSM117677	T	None	7.330917
254	Bladder-Cancer	GSE2109	GSM137919	T	None	9.879583
255	Bladder-Cancer	GSE2109	GSM137976	T	None	7.426265
256	Bladder-Cancer	GSE2109	GSM152625	T	None	10.584963
257	Bladder-Cancer	GSE2109	GSM152717	T	None	10.954924
258	Bladder-Cancer	GSE2109	GSM152732	T	None	10.625709
259	Bladder-Cancer	GSE2109	GSM152779	T	None	6.5849624
260	Bladder-Cancer	GSE2109	GSM152797	T	None	6.6293564
261	Bladder-Cancer	GSE2109	GSM179874	T	None	9.489848
262	Bladder-Cancer	GSE2109	GSM179921	T	None	5.97728
263	Bladder-Cancer	GSE2109	GSM179926	T	None	9.544965
264	Bladder-Cancer	GSE7476	GSM180995	T	None	7.3037806
265	Bladder-Cancer	GSE7476	GSM180996	T	None	8.098032
266	Bladder-Cancer	GSE7476	GSM180997	T	None	9.473705
267	Bladder-Cancer	GSE7476	GSM180998	T	None	7.876517
268	Bladder-Cancer	GSE7476	GSM180999	T	None	8.2620945
269	Bladder-Cancer	GSE7476	GSM181000	T	None	8.4346285
270	Bladder-Cancer	GSE7476	GSM181001	T	None	9.914385
271	Bladder-Cancer	GSE7476	GSM181002	T	None	8.813781
272	Bladder-Cancer	GSE2109	GSM203714	T	None	6.3923173
273	Bladder-Cancer	GSE2109	GSM203738	T	None	7.139551
274	Bladder-Cancer	GSE2109	GSM203753	T	None	6.9068904
275	Bladder-Cancer	GSE2109	GSM203793	T	None	7.948367
276	Bladder-Cancer	GSE2109	GSM231906	T	None	9.631177
277	Bladder-Cancer	GSE2109	GSM46920	T	None	11.094078
278	Bladder-Cancer	GSE2109	GSM53030	T	None	7.643856
279	Bladder-Cancer	GSE2109	GSM53097	T	None	8.005625
280	Bladder-Cancer	GSE2109	GSM53117	T	None	7.169925
281	Bladder-Cancer	GSE2109	GSM53137	T	None	10.380461
282	Bladder-Cancer	GSE2109	GSM53139	T	None	7.5698557
283	Bladder-Cancer	GSE30522	GSM756939	T	None	6.741467
284	Bladder-Cancer	GSE30522	GSM756940	T	None	4.523562
285	Bladder-Cancer	GSE2109	GSM76532	T	None	7.7142453
286	Bladder-Cancer	GSE31189	GSM773124	T	None	7.2854023
287	Bladder-Cancer	GSE31189	GSM773125	T	None	9.202124
288	Bladder-Cancer	GSE31189	GSM773126	T	None	9.098032
289	Bladder-Cancer	GSE31189	GSM773127	T	None	8.2946205
290	Bladder-Cancer	GSE31189	GSM773128	T	None	8.820179
291	Bladder-Cancer	GSE31189	GSM773129	T	None	9.603626
292	Bladder-Cancer	GSE31189	GSM773130	T	None	9.355351
293	Bladder-Cancer	GSE31189	GSM773131	T	None	6.965784
294	Bladder-Cancer	GSE31189	GSM773132	T	None	9.398744
295	Bladder-Cancer	GSE31189	GSM773133	T	None	7.8887434
296	Bladder-Cancer	GSE31189	GSM773134	T	None	8.033423
297	Bladder-Cancer	GSE31189	GSM773135	T	None	9.413628
298	Bladder-Cancer	GSE31189	GSM773136	T	None	8.810572
299	Bladder-Cancer	GSE31189	GSM773137	T	None	6.4429436
300	Bladder-Cancer	GSE31189	GSM773138	T	None	7.936638
301	Bladder-Cancer	GSE31189	GSM773139	T	None	8.535275
302	Bladder-Cancer	GSE31189	GSM773140	T	None	8.948367
303	Bladder-Cancer	GSE31189	GSM773141	T	None	6.523562
304	Bladder-Cancer	GSE31189	GSM773142	T	None	7.6865005
305	Bladder-Cancer	GSE31189	GSM773143	T	None	8.475734
306	Bladder-Cancer	GSE31189	GSM773144	T	None	8.491853
307	Bladder-Cancer	GSE31189	GSM773145	T	None	8.463525
308	Bladder-Cancer	GSE31189	GSM773146	T	None	7.2479277
309	Bladder-Cancer	GSE31189	GSM773147	T	None	6.820179
310	Bladder-Cancer	GSE31189	GSM773148	T	None	8.326429
311	Bladder-Cancer	GSE31189	GSM773149	T	None	7.409391
312	Bladder-Cancer	GSE31189	GSM773150	T	None	7.693487
313	Bladder-Cancer	GSE31189	GSM773151	T	None	8.2620945
314	Bladder-Cancer	GSE31189	GSM773152	T	None	7.2191687
315	Bladder-Cancer	GSE31189	GSM773153	T	None	8.049849
316	Bladder-Cancer	GSE31189	GSM773154	T	None	8.643856
317	Bladder-Cancer	GSE31189	GSM773155	T	None	8.271463
318	Bladder-Cancer	GSE31189	GSM773156	T	None	8.5622425
319	Bladder-Cancer	GSE31189	GSM773157	T	None	5.97728
320	Bladder-Cancer	GSE31189	GSM773158	T	None	7.3750396
321	Bladder-Cancer	GSE31189	GSM773159	T	None	8.724514
322	Bladder-Cancer	GSE31189	GSM773160	T	None	6.7279205
323	Bladder-Cancer	GSE31189	GSM773161	T	None	5.7279205
324	Bladder-Cancer	GSE31189	GSM773162	T	None	8.027906
325	Bladder-Cancer	GSE31189	GSM773163	T	None	8.276124
326	Bladder-Cancer	GSE31189	GSM773164	T	None	8.299208
327	Bladder-Cancer	GSE31189	GSM773165	T	None	8.33539
328	Bladder-Cancer	GSE31189	GSM773166	T	None	6.9068904
329	Bladder-Cancer	GSE31189	GSM773167	T	None	7.851749
330	Bladder-Cancer	GSE31189	GSM773168	T	None	6.3750396
331	Bladder-Cancer	GSE31189	GSM773169	T	None	7.70044
332	Bladder-Cancer	GSE31189	GSM773170	T	None	7.8137813
333	Bladder-Cancer	GSE31189	GSM773171	T	None	6.228819
334	Bladder-Cancer	GSE31189	GSM773172	T	None	7.9886847
335	Bladder-Cancer	GSE31189	GSM773173	T	None	6.6724253
336	Bladder-Cancer	GSE31189	GSM773174	T	None	8.3663225
337	Bladder-Cancer	GSE31189	GSM773175	T	None	8.027906
338	Bladder-Cancer	GSE31684	GSM786491	T	None	10.306062
339	Bladder-Cancer	GSE31684	GSM786492	T	None	10.73471
340	Bladder-Cancer	GSE31684	GSM786493	T	None	6.1898246
341	Bladder-Cancer	GSE31684	GSM786494	T	None	6.807355
342	Bladder-Cancer	GSE31684	GSM786495	T	None	6.4429436
343	Bladder-Cancer	GSE31684	GSM786496	T	None	8.129283
344	Bladder-Cancer	GSE31684	GSM786497	T	None	8.1848755
345	Bladder-Cancer	GSE31684	GSM786498	T	None	10.098032
346	Bladder-Cancer	GSE31684	GSM786499	T	None	6.066089
347	Bladder-Cancer	GSE31684	GSM786500	T	None	10.767357
348	Bladder-Cancer	GSE31684	GSM786501	T	None	8.271463
349	Bladder-Cancer	GSE31684	GSM786502	T	None	9.876517
350	Bladder-Cancer	GSE31684	GSM786503	T	None	6.820179
351	Bladder-Cancer	GSE31684	GSM786504	T	None	7.4838157
352	Bladder-Cancer	GSE31684	GSM786505	T	None	11.500842
353	Bladder-Cancer	GSE31684	GSM786506	T	None	11.482808
354	Bladder-Cancer	GSE31684	GSM786507	T	None	6.2479277
355	Bladder-Cancer	GSE31684	GSM786508	T	None	6.3923173
356	Bladder-Cancer	GSE31684	GSM786509	T	None	11.508785
357	Bladder-Cancer	GSE31684	GSM786510	T	None	6.6724253
358	Bladder-Cancer	GSE31684	GSM786511	T	None	9.3706875
359	Bladder-Cancer	GSE31684	GSM786512	T	None	6.33985
360	Bladder-Cancer	GSE31684	GSM786513	T	None	6.6724253
361	Bladder-Cancer	GSE31684	GSM786514	T	None	6.066089
362	Bladder-Cancer	GSE31684	GSM786515	T	None	6.7279205
363	Bladder-Cancer	GSE31684	GSM786516	T	None	7.011227
364	Bladder-Cancer	GSE31684	GSM786517	T	None	9.493855
365	Bladder-Cancer	GSE31684	GSM786518	T	None	7.330917
366	Bladder-Cancer	GSE31684	GSM786519	T	None	6.965784
367	Bladder-Cancer	GSE31684	GSM786520	T	None	11.139551
368	Bladder-Cancer	GSE31684	GSM786521	T	None	11.00422
369	Bladder-Cancer	GSE31684	GSM786522	T	None	10.713387
370	Bladder-Cancer	GSE31684	GSM786523	T	None	7.139551
371	Bladder-Cancer	GSE31684	GSM786524	T	None	10.258566
372	Bladder-Cancer	GSE31684	GSM786525	T	None	6.965784
373	Bladder-Cancer	GSE31684	GSM786526	T	None	6.84549
374	Bladder-Cancer	GSE31684	GSM786527	T	None	7.592457
375	Bladder-Cancer	GSE31684	GSM786528	T	None	7.033423
376	Bladder-Cancer	GSE31684	GSM786529	T	None	10.587777
377	Bladder-Cancer	GSE31684	GSM786530	T	None	9.541097
378	Bladder-Cancer	GSE31684	GSM786531	T	None	6.9886847
379	Bladder-Cancer	GSE31684	GSM786532	T	None	11.287712
380	Bladder-Cancer	GSE31684	GSM786533	T	None	7.4008794
381	Bladder-Cancer	GSE31684	GSM786534	T	None	7.129283
382	Bladder-Cancer	GSE31684	GSM786535	T	None	10.0633955
383	Bladder-Cancer	GSE31684	GSM786536	T	None	6.768184
384	Bladder-Cancer	GSE31684	GSM786537	T	None	9.743152
385	Bladder-Cancer	GSE31684	GSM786538	T	None	5.7548876
386	Bladder-Cancer	GSE31684	GSM786539	T	None	7.011227
387	Bladder-Cancer	GSE31684	GSM786540	T	None	7.665336
388	Bladder-Cancer	GSE31684	GSM786541	T	None	6.9068904
389	Bladder-Cancer	GSE31684	GSM786542	T	None	10.129283
390	Bladder-Cancer	GSE31684	GSM786543	T	None	7.098032
391	Bladder-Cancer	GSE31684	GSM786544	T	None	9.659996
392	Bladder-Cancer	GSE31684	GSM786545	T	None	7.312883
393	Bladder-Cancer	GSE31684	GSM786546	T	None	11.605943
394	Bladder-Cancer	GSE31684	GSM786547	T	None	9.951284
395	Bladder-Cancer	GSE31684	GSM786548	T	None	9.139551
396	Bladder-Cancer	GSE31684	GSM786549	T	None	7.0768156
397	Bladder-Cancer	GSE31684	GSM786550	T	None	10.291171
398	Bladder-Cancer	GSE31684	GSM786551	T	None	9.084808
399	Bladder-Cancer	GSE31684	GSM786552	T	None	7.6073303
400	Bladder-Cancer	GSE31684	GSM786553	T	None	11.679481
401	Bladder-Cancer	GSE31684	GSM786554	T	None	6.539159
402	Bladder-Cancer	GSE31684	GSM786555	T	None	7.2573876
403	Bladder-Cancer	GSE31684	GSM786556	T	None	8.83289
404	Bladder-Cancer	GSE31684	GSM786557	T	None	10.976564
405	Bladder-Cancer	GSE31684	GSM786558	T	None	6.5698557
406	Bladder-Cancer	GSE31684	GSM786559	T	None	9.778077
407	Bladder-Cancer	GSE31684	GSM786560	T	None	9.539159
408	Bladder-Cancer	GSE31684	GSM786561	T	None	10.558421
409	Bladder-Cancer	GSE31684	GSM786562	T	None	9.744834
410	Bladder-Cancer	GSE31684	GSM786563	T	None	9.1848755
411	Bladder-Cancer	GSE31684	GSM786564	T	None	10.397675
412	Bladder-Cancer	GSE31684	GSM786565	T	None	6.4594316
413	Bladder-Cancer	GSE31684	GSM786566	T	None	7.5313816
414	Bladder-Cancer	GSE31684	GSM786567	T	None	6.022368
415	Bladder-Cancer	GSE31684	GSM786568	T	None	10.099348
416	Bladder-Cancer	GSE31684	GSM786569	T	None	11.243174
417	Bladder-Cancer	GSE31684	GSM786570	T	None	5.97728
418	Bladder-Cancer	GSE31684	GSM786571	T	None	8.108524
419	Bladder-Cancer	GSE31684	GSM786572	T	None	9.971543
420	Bladder-Cancer	GSE31684	GSM786573	T	None	6.9068904
421	Bladder-Cancer	GSE31684	GSM786574	T	None	10.244364
422	Bladder-Cancer	GSE31684	GSM786575	T	None	5.6724253
423	Bladder-Cancer	GSE31684	GSM786576	T	None	7.894818
424	Bladder-Cancer	GSE31684	GSM786577	T	None	6.5698557
425	Bladder-Cancer	GSE31684	GSM786578	T	None	6.882643
426	Bladder-Cancer	GSE31684	GSM786579	T	None	8.174926
427	Bladder-Cancer	GSE31684	GSM786580	T	None	10.0223675
428	Bladder-Cancer	GSE31684	GSM786581	T	None	9.189824
429	Bladder-Cancer	GSE31684	GSM786582	T	None	9.126704
430	Bladder-Cancer	GSE31684	GSM786583	T	None	8.658212
433	Bladder-Cancer	GSE2109	GSM88993	T	None	11.105254
434	Bladder-Cancer	GSE2109	GSM89048	T	None	8.011228
